name,name_kana,lat,lng,region,rank,series,categories,description,key
弘前ねぷた,,40.6039,140.4649,青森県,B,,,弘前ねぷたまつり（ひろさきねぷたまつり）は、青森県弘前市で開催されるねぶた。日本の音風景100選。,弘前ねぷた
青森ねぶた,,40.822342,140.74739,青森県,A,,,青森ねぶた祭（あおもりねぶたまつり）は、青森県青森市で8月2日から7日に開催されるねぶた。日本の音風景100選。,青森ねぶた
早池峰神楽,はやちねかぐら,39.5321111,141.4171389,岩手県,D,,,早池峰神楽（はやちねかぐら）は、岩手県花巻市大迫町に伝わる民俗芸能の神楽。,早池峰神楽
くりでんレールバイク乗車会,,38.7752778,141.1325139,宮城県,E,,,くりでんレールバイク乗車会（くりでんレールバイクじょうしゃかい）は、宮城県栗原市若柳で毎年春から秋にかけて、主に日曜日に不定期に開催される、レールバイクで廃線跡を走行するイベントである。,くりでんレールバイク乗車会
天空のゆりガーデン,,38.4187306,140.7230611,宮城県,E,,,天空のゆりガーデン（てんくうのゆりガーデン）は、宮城県仙台市の泉ヶ岳で開催されるゆり祭り。,天空のゆりガーデン
かがり美少女イラストコンテスト,,39.1997222,140.4016667,秋田県,E,,,かがり美少女イラストコンテスト（かがりびしょうじょイラストコンテスト）は、秋田県雄勝郡羽後町で行われるイベントである。,かがり美少女イラストコンテスト
一日市の盆踊,ひといちのぼんおどり,39.9422778,140.0759722,秋田県,D,,,一日市の盆踊（ひといちのぼんおどり）は、秋田県南秋田郡八郎潟町一日市で行われる盆踊り。,一日市の盆踊
保呂羽山の霜月神楽,ほろわさんのしもつきかぐら,39.3677778,140.36575,秋田県,E,,,保呂羽山の霜月神楽（ほろわさんのしもつきかぐら）は、秋田県横手市大森町八沢木の保呂羽山波宇志別神社に伝わる民俗芸能の霜月神楽である。,保呂羽山の霜月神楽
毛馬内の盆踊,けまないのぼんおどり,40.2715,140.7666667,秋田県,D,,,毛馬内の盆踊（けまないのぼんおどり）は、秋田県鹿角市十和田毛馬内で行われる重要無形民俗文化財に指定される盆踊りである。,毛馬内の盆踊
西馬音内の盆踊,にしもないのぼんおどり,39.1995556,140.4032222,秋田県,C,,,西馬音内の盆踊（にしもないのぼんおどり）とは秋田県雄勝郡羽後町西馬音内に伝わる盆踊りである。日本三大盆踊り・日本三大盆踊。,西馬音内の盆踊
林家舞楽,はやしけぶがく,38.4100889,140.2507222,山形県,E,,,林家舞楽（はやしけぶがく）は、山形県西村山郡河北町の谷地八幡宮宮司林家に伝わる舞楽。,林家舞楽
東京高円寺阿波おどり,,35.7038,139.65,東京都,C,,,東京高円寺阿波おどり （とうきょうこうえんじあわおどり）は、東京都杉並区高円寺において毎年8月下旬（最終の土曜・日曜）に開催される阿波踊りである。,東京高円寺阿波おどり
新潟淡麗にいがた酒の陣,にいがたたんれいにいがたさけのじん,37.9265166,139.0602458,新潟県,D,,,新潟淡麗にいがた酒の陣（にいがたたんれいにいがたさけのじん）は、にいがた酒の陣実行委員会が主催する新潟清酒（日本酒）に関するイベントである。,新潟淡麗にいがた酒の陣
天龍村の霜月神楽,てんりゅうむらのしもつきかぐら,35.2465833,137.7890556,長野県,E,,,天龍村の霜月神楽（てんりゅうむらのしもつきかぐら）は、長野県下伊那郡天龍村に伝わる民俗芸能の霜月神楽。,天龍村の霜月神楽
松本ぼんぼん,,36.234425,137.96922,長野県,C,,,夏まつり 松本ぼんぼん（なつまつり まつもとぼんぼん）は、毎年8月の第1土曜日に長野県松本市の松本駅東側から松本城にかけて広がる中心街で行われる、長野県下最大の夏祭りであり、市内の地区名などを織り込んだ歌に合わせて踊る盆踊り的なイベントである。,松本ぼんぼん
藤守の田遊び,ふじもりのたあそび,34.8111111,138.2994444,静岡県,E,,,藤守の田遊び（ふじもりのたあそび）は、静岡県焼津市（旧志太郡大井川町）字藤守に伝わるに民俗芸能の田楽（田遊び）である。,藤守の田遊び
乗本万燈,のりもとまんどう,34.9215,137.5647222,愛知県,E,,,乗本万燈（のりもとまんどう）は、毎年8月15日の夜に愛知県新城市乗本本久地区にある万灯山で行われる火祭りである。,乗本万燈
濃尾大花火,のうびだいはなび,35.3131389,136.7320278,愛知県,D,,,濃尾大花火（のうびだいはなび）は、愛知県一宮市と岐阜県羽島市が、8月中旬に木曽川に架かる濃尾大橋の上流で共催していた花火大会である。,濃尾大花火
磯部の御神田,いそべのおみた,34.3805611,136.8088111,三重県,D,,,磯部の御神田（いそべのおみた）は、三重県志摩市の伊雑宮に伝わる民俗芸能の田楽。東海美の里百選。,磯部の御神田
住吉の御田植,すみよしのおたうえ,34.61135,135.4924528,大阪府,C,神社,,住吉の御田植（すみよしのおたうえ）は、大阪府大阪市住吉区住吉の住吉大社に伝わる民俗芸能の田楽（御田植祭）である。,住吉の御田植
